,단어,뜻
1138,conserve,"보전하다, 유지하다"
1139,chance,"가능성, 기회"
1140,forecast,(날씨의)예보
1141,waste,"쓰레기, 폐기물"
1142,dispose,"처분하다, 처리하다"
1143,recycling,재활용
1144,clear,"맑게 갠; 명백한, 분명한, 또렷하게, 완전히; 떨어져서"
1145,damage,"피해, 손해, 손상시키다"
1146,significant,"상당한; 중대한, 중요한"
1147,solution,해결책
1148,occur,"(일이)발생하다, 생기다"
1149,ideal,이상적인
1150,preserve,"보존하다, 보호하다"
1151,aid,"원조, 돕다"
1152,excessive,"지나친, 과도한"
1153,intensively,집중적으로
1154,vary,"다르다, 다양하다"
1155,pleasing,"즐거운, 기분 좋은, 만족스러운"
1156,mark,"점수, 평점, 표시, 축하하다"
1157,inaccessible,"접근이 불가능한, 이용이 불가능한"
1158,disturb,방해하다
1159,pollutant,오염물질
1160,emission,"배기가스, 방출"
1161,dense,"빽빽한, 밀집한"
1162,environmental,환경적인
1163,consistent,"일치하는, 지속적인, 한결같은"
1164,leak,"누출, 누출량"
1165,organization,단체
1166,continually,계속해서
1167,contaminate,오염시키다
1168,disaster,재난
1169,discharge,방출하다
1170,resource,"자원, 자료"
1171,prominent,"유명한, 두드러진"
1172,deplete,고갈시키다
1173,purify,정화시키다
1174,endangered,멸종 위기에 처한
1175,extinction,멸종
1176,drought,가뭄
1177,inflict,"(고통,피해를)입히다, 가하다"
1178,migration,"이동, 이주"
1179,ecology,"생태, 자연환경"
1180,habitat,"(동, 식물의)서식지"
